peak_date,trough_date,recovery_date,depth,peak_to_trough_days,trough_to_recovery_days,total_days,recovered,ticker
2016-07-20,2016-07-21,2016-07-22,-0.0037654136621582124,1,1.0,2.0,True,SPY
2016-07-22,2016-08-02,2016-08-05,-0.007802174376465576,11,3.0,14.0,True,SPY
2016-08-05,2016-08-08,2016-08-09,-0.0005571681002689566,3,1.0,4.0,True,SPY
2016-08-05,2016-08-10,2016-08-11,-0.0023772505611479033,5,1.0,6.0,True,SPY
2016-08-11,2016-08-12,2016-08-15,-0.000863096026051613,1,3.0,4.0,True,SPY
2016-08-15,2016-11-04,2016-11-15,-0.04320067649701398,81,11.0,92.0,True,SPY
2016-11-15,2016-11-16,2016-11-17,-0.0019264365146803852,1,1.0,2.0,True,SPY
2016-11-17,2016-11-18,2016-11-21,-0.0023511713777759624,1,3.0,4.0,True,SPY
2016-11-25,2016-12-01,2016-12-06,-0.008709804900370322,6,5.0,11.0,True,SPY
2016-12-09,2016-12-12,2016-12-13,-0.0011697274535034108,3,1.0,4.0,True,SPY
2016-12-13,2016-12-30,2017-01-04,-0.013021689330306008,17,5.0,22.0,True,SPY
2017-01-04,2017-01-05,2017-01-06,-0.0006722196389220558,1,1.0,2.0,True,SPY
